origin,dest,lat1,lon1,lat2,lon2,value
jpn,rus,36.204824,138.252924,61.52401,105.31875600000001,19992644937.5
rus,jpn,61.52401,105.31875600000001,36.204824,138.252924,19992644937.5
jpn,mex,36.204824,138.252924,23.634501,-102.552784,19525772529.5
mex,jpn,23.634501,-102.552784,36.204824,138.252924,19525772529.5
tur,rus,38.963745,35.243322,61.52401,105.31875600000001,19419540501.0
rus,tur,61.52401,105.31875600000001,38.963745,35.243322,19419540501.0
tur,gbr,38.963745,35.243322,55.378051,-3.435973,19365020670.0
gbr,tur,55.378051,-3.435973,38.963745,35.243322,19365020670.0
phl,usa,12.879721,121.77401699999999,37.09024,-95.712891,19157808343.0
usa,phl,37.09024,-95.712891,12.879721,121.77401699999999,19157808343.0
idn,ind,-0.789275,113.921327,20.593684,78.96288,19103164996.5
ind,idn,20.593684,78.96288,-0.789275,113.921327,19103164996.5
kor,rus,35.907757000000004,127.766922,61.52401,105.31875600000001,19095788068.5
rus,kor,61.52401,105.31875600000001,35.907757000000004,127.766922,19095788068.5
lbn,aut,33.854721000000005,35.862285,47.516231,14.550072,19064731998.5
aut,lbn,47.516231,14.550072,33.854721000000005,35.862285,19064731998.5
pol,rus,51.919438,19.145135999999997,61.52401,105.31875600000001,18838966406.0
rus,pol,61.52401,105.31875600000001,51.919438,19.145135999999997,18838966406.0
cze,chn,49.817492,15.472961999999999,35.86166,104.195397,18170283272.0
chn,cze,35.86166,104.195397,49.817492,15.472961999999999,18170283272.0
sgp,ind,1.352083,103.819836,20.593684,78.96288,18122468130.5
ind,sgp,20.593684,78.96288,1.352083,103.819836,18122468130.5
prt,deu,39.399871999999995,-8.224454,51.165690999999995,10.451526,17949304391.5
deu,prt,51.165690999999995,10.451526,39.399871999999995,-8.224454,17949304391.5
jpn,fra,36.204824,138.252924,46.227638,2.213749,17909485746.0
fra,jpn,46.227638,2.213749,36.204824,138.252924,17909485746.0
irl,bel,53.41291,-8.243889999999999,50.503887,4.469936,17857202893.0
bel,irl,50.503887,4.469936,53.41291,-8.243889999999999,17857202893.0
idn,kor,-0.789275,113.921327,35.907757000000004,127.766922,17662606979.0
kor,idn,35.907757000000004,127.766922,-0.789275,113.921327,17662606979.0
swe,gbr,60.128161,18.643501,55.378051,-3.435973,17629093081.5
gbr,swe,55.378051,-3.435973,60.128161,18.643501,17629093081.5
nor,deu,60.472024,8.468946,51.165690999999995,10.451526,17377879695.0
deu,nor,51.165690999999995,10.451526,60.472024,8.468946,17377879695.0
zaf,deu,-30.559482,22.937506,51.165690999999995,10.451526,17263119575.5
deu,zaf,51.165690999999995,10.451526,-30.559482,22.937506,17263119575.5
mex,kor,23.634501,-102.552784,35.907757000000004,127.766922,17239011098.5
kor,mex,35.907757000000004,127.766922,23.634501,-102.552784,17239011098.5
idn,mys,-0.789275,113.921327,4.210483999999999,101.97576600000001,17111098303.0
mys,idn,4.210483999999999,101.97576600000001,-0.789275,113.921327,17111098303.0
kaz,rus,48.019573,66.923684,61.52401,105.31875600000001,17087148677.0
rus,kaz,61.52401,105.31875600000001,48.019573,66.923684,17087148677.0
gbr,hkg,55.378051,-3.435973,22.396428,114.10949699999999,17085834042.5
hkg,gbr,22.396428,114.10949699999999,55.378051,-3.435973,17085834042.5
rou,ita,45.943160999999996,24.96676,41.87194,12.56738,17061767911.5
ita,rou,41.87194,12.56738,45.943160999999996,24.96676,17061767911.5
che,aut,46.818188,8.227511999999999,47.516231,14.550072,16991647490.0
aut,che,47.516231,14.550072,46.818188,8.227511999999999,16991647490.0
mar,esp,31.791702,-7.09262,40.463667,-3.7492199999999998,16763532705.5
esp,mar,40.463667,-3.7492199999999998,31.791702,-7.09262,16763532705.5
fin,swe,61.92411,25.748151,60.128161,18.643501,16747690132.5
swe,fin,60.128161,18.643501,61.92411,25.748151,16747690132.5
can,deu,56.130366,-106.34677099999999,51.165690999999995,10.451526,16632524659.0
deu,can,51.165690999999995,10.451526,56.130366,-106.34677099999999,16632524659.0
usa,aut,37.09024,-95.712891,47.516231,14.550072,16597817355.0
aut,usa,47.516231,14.550072,37.09024,-95.712891,16597817355.0
chn,nzl,35.86166,104.195397,-40.900557,174.88597099999998,16532256541.5
nzl,chn,-40.900557,174.88597099999998,35.86166,104.195397,16532256541.5
ind,aus,20.593684,78.96288,-25.274398,133.775136,16469946847.0
aus,ind,-25.274398,133.775136,20.593684,78.96288,16469946847.0
mys,hkg,4.210483999999999,101.97576600000001,22.396428,114.10949699999999,16444000635.5
hkg,mys,22.396428,114.10949699999999,4.210483999999999,101.97576600000001,16444000635.5
deu,bra,51.165690999999995,10.451526,-14.235004,-51.92528,16338896232.0
bra,deu,-14.235004,-51.92528,51.165690999999995,10.451526,16338896232.0
kor,mys,35.907757000000004,127.766922,4.210483999999999,101.97576600000001,16198682645.0
mys,kor,4.210483999999999,101.97576600000001,35.907757000000004,127.766922,16198682645.0
tur,fra,38.963745,35.243322,46.227638,2.213749,16106346947.0
fra,tur,46.227638,2.213749,38.963745,35.243322,16106346947.0
per,usa,-9.189967,-75.015152,37.09024,-95.712891,16049321157.5
usa,per,37.09024,-95.712891,-9.189967,-75.015152,16049321157.5
chn,arg,35.86166,104.195397,-38.416097,-63.616671999999994,15959206738.0
arg,chn,-38.416097,-63.616671999999994,35.86166,104.195397,15959206738.0
chn,swe,35.86166,104.195397,60.128161,18.643501,15546716307.5
swe,chn,60.128161,18.643501,35.86166,104.195397,15546716307.5
deu,sgp,51.165690999999995,10.451526,1.352083,103.819836,15229051964.5
sgp,deu,1.352083,103.819836,51.165690999999995,10.451526,15229051964.5
ind,jpn,20.593684,78.96288,36.204824,138.252924,15167064599.5
jpn,ind,36.204824,138.252924,20.593684,78.96288,15167064599.5
bel,swe,50.503887,4.469936,60.128161,18.643501,15152027036.5
swe,bel,60.128161,18.643501,50.503887,4.469936,15152027036.5
chn,kaz,35.86166,104.195397,48.019573,66.923684,14890030276.5
kaz,chn,48.019573,66.923684,35.86166,104.195397,14890030276.5
esp,tur,40.463667,-3.7492199999999998,38.963745,35.243322,14886292953.0
tur,esp,38.963745,35.243322,40.463667,-3.7492199999999998,14886292953.0
gbr,ind,55.378051,-3.435973,20.593684,78.96288,14848810171.0
ind,gbr,20.593684,78.96288,55.378051,-3.435973,14848810171.0
swe,usa,60.128161,18.643501,37.09024,-95.712891,14585532405.0
usa,swe,37.09024,-95.712891,60.128161,18.643501,14585532405.0
cze,ita,49.817492,15.472961999999999,41.87194,12.56738,14531738872.0
ita,cze,41.87194,12.56738,49.817492,15.472961999999999,14531738872.0
ind,mys,20.593684,78.96288,4.210483999999999,101.97576600000001,14502031133.0
mys,ind,4.210483999999999,101.97576600000001,20.593684,78.96288,14502031133.0
jpn,ita,36.204824,138.252924,41.87194,12.56738,14399658042.0
ita,jpn,41.87194,12.56738,36.204824,138.252924,14399658042.0
irl,fra,53.41291,-8.243889999999999,46.227638,2.213749,14364365887.0
fra,irl,46.227638,2.213749,53.41291,-8.243889999999999,14364365887.0
kor,gbr,35.907757000000004,127.766922,55.378051,-3.435973,14147768217.5
gbr,kor,55.378051,-3.435973,35.907757000000004,127.766922,14147768217.5
fra,cze,46.227638,2.213749,49.817492,15.472961999999999,14097080363.0
cze,fra,49.817492,15.472961999999999,46.227638,2.213749,14097080363.0
nld,jpn,52.132633,5.291266,36.204824,138.252924,13940595463.5
jpn,nld,36.204824,138.252924,52.132633,5.291266,13940595463.5
kor,phl,35.907757000000004,127.766922,12.879721,121.77401699999999,13935295587.5
phl,kor,12.879721,121.77401699999999,35.907757000000004,127.766922,13935295587.5
deu,mys,51.165690999999995,10.451526,4.210483999999999,101.97576600000001,13897492423.5
mys,deu,4.210483999999999,101.97576600000001,51.165690999999995,10.451526,13897492423.5
aut,cze,47.516231,14.550072,49.817492,15.472961999999999,13778794499.5
cze,aut,49.817492,15.472961999999999,47.516231,14.550072,13778794499.5
usa,dom,37.09024,-95.712891,18.735692999999998,-70.162651,13767040333.5
dom,usa,18.735692999999998,-70.162651,37.09024,-95.712891,13767040333.5
rus,fra,61.52401,105.31875600000001,46.227638,2.213749,13722236311.0
fra,rus,46.227638,2.213749,61.52401,105.31875600000001,13722236311.0
zaf,usa,-30.559482,22.937506,37.09024,-95.712891,13685360637.5
usa,zaf,37.09024,-95.712891,-30.559482,22.937506,13685360637.5
